,Application Number,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,DOB,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,Application Status,age,Vehicle Age,is_npl
608,25650701ULCR00011,150000.0,150000.0,60,M,1995-03-13,STREET VENDOR,25000.0,PU,TOYOTA,HILUX VIGO,2010,CR,271000,S3,2022-12-06,S2,NPL,APPLICATION_COMPLETED,28,13,1
619,25650701REUM00008,39500.0,38409.75,30,F,1984-07-21,STREET VENDOR,30000.0,MC,HONDA,DREAM 110I,2017,CO,53000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,39,6,0
625,25650701ULMB00050,31000.0,30133.93,36,M,1985-08-19,พนักงานบริษัท,15000.0,MC,HONDA,PCX 150,2013,BS,41500,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,38,10,0
638,25650701ULMB00063,23000.0,23000.0,36,F,1991-04-12,STREET VENDOR,7000.0,MC,YAMAHA,FINO (MLEKE),2011,AD,35500,S3,2022-12-06,S2,NPL,APPLICATION_COMPLETED,32,12,1
656,25650701ULMB00058,46000.0,46000.0,36,F,1986-07-27,อื่นๆ,10000.0,MC,HONDA,PCX 150,2017,CQ,61500,S3,2022-12-12,S2,NPL,APPLICATION_COMPLETED,37,6,1
661,25650701REUM00019,30000.0,29769.9,24,F,1984-05-06,อื่นๆ,12000.0,MC,HONDA,WAVE 110 I,2019,DS,43000,S2,2023-01-03,S1,PL,APPLICATION_COMPLETED,39,4,0
681,25650701REUC00042,190000.0,190000.0,48,M,1988-02-03,พนักงานบริษัท,24000.0,PU,TOYOTA,HILUX VIGO,2008,CB,285000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,35,15,0
700,25650701REUC00034,179500.0,176612.44,60,F,1993-05-31,STREET VENDOR,70000.0,PU,TOYOTA,HILUX VIGO,2012,FI,256500,S2,2022-10-30,S1,NPL,APPLICATION_COMPLETED,30,11,1
733,25650702REUM00001,20000.0,19525.0,24,M,1991-03-18,อื่นๆ,12000.0,MC,YAMAHA,FINO (MLEKE),2011,AD,35500,S1,2023-01-13,S2,PL,APPLICATION_COMPLETED,32,12,0
779,25650702REUM00025,10000.0,9996.01,12,M,1982-05-07,STREET VENDOR,18200.0,MC,HONDA,CLICK 110,2007,AC,14000,S3,2023-01-08,S2,NPL,APPLICATION_COMPLETED,41,16,1
781,25650702ULMB00070,14200.0,13053.27,12,F,2000-12-06,พนักงานบริษัท,9000.0,MC,HONDA,WAVE 110 I,2009,AF,19000,S3,2022-12-12,S2,NPL,APPLICATION_COMPLETED,23,14,1
782,25650702ULMB00081,6100.0,5711.36,12,F,1987-03-03,STREET VENDOR,40000.0,MC,HONDA,WAVE 125,2003,AA,20500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,36,20,0
787,25650701REUM00027,18500.0,18327.61,18,M,1990-06-21,อื่นๆ,11000.0,MC,YAMAHA,FINN 115I,2018,AI,28500,S1,2022-07-01,S1,PL,APPLICATION_COMPLETED,33,5,0
790,25650703ULMB00006,11000.0,8687.89,12,F,1987-12-13,STREET VENDOR,38000.0,MC,GPX,DEMON 125,2016,AF,16000,S1,2022-07-03,S1,PL,APPLICATION_COMPLETED,36,7,0
791,25650703ULMB00007,28000.0,28000.0,12,M,1968-01-29,เกษตรกร,30000.01,MC,HONDA,WAVE 110I,2021,CH,38000,S3,2022-11-05,S2,NPL,APPLICATION_COMPLETED,55,2,1
821,25650703REUC00021,280000.0,280000.0,60,F,1967-01-16,พนักงานบริษัท,92693.0,CAR,HONDA,CIVIC,2012,AY,381500,S1,2023-01-14,S2,PL,APPLICATION_COMPLETED,56,11,0
827,25650703REUM00009,17500.0,17428.68,36,F,1982-02-14,พนักงานรัฐวิสาหกิจ,18370.0,MC,HONDA,MSX 125,2013,AQ,23500,S1,2022-12-28,S2,PL,APPLICATION_COMPLETED,41,10,0
908,25650704REUC00032,110000.0,109101.15,60,F,1988-05-02,STREET VENDOR,25000.0,CAR,HONDA,CIVIC,2005,CJ,170000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,35,18,0
912,25650704REUM00023,20000.0,20000.0,18,M,1954-03-15,ข้าราชการ,30000.0,MC,HONDA,DREAM 125,2007,AG,27000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,69,16,0
959,25650704REUM00071,35000.0,34909.64,24,M,1995-07-17,อื่นๆ,15000.0,MC,HONDA,DREAM 110I,2017,CO,53000,S1,2022-07-04,S1,PL,APPLICATION_COMPLETED,28,6,0
964,25650704REUM00080,23000.0,22986.88,18,F,1986-08-29,อื่นๆ,17000.0,MC,HONDA,SCOOPY,2011,AR,31000,S1,2022-07-04,S1,PL,APPLICATION_COMPLETED,37,12,0
996,25650704REUC00080,110000.0,110000.0,60,F,1985-12-25,STREET VENDOR,50000.0,CAR,HONDA,CITY,2005,DB,150500,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,38,18,0
998,25650704REUC00091,150000.0,148282.77,42,M,1988-10-18,พนักงานบริษัท,47500.0,CAR,MITSUBISHI,LANCER EX,2009,CJ,227000,S2,2022-11-14,S1,NPL,APPLICATION_COMPLETED,35,14,1
1014,25650704REUC00028,230000.0,230000.0,60,F,1986-12-27,เกษตรกร,40000.0,PU,TOYOTA,HILUX VIGO,2009,EW,308000,S3,2022-12-12,S2,NPL,APPLICATION_COMPLETED,37,14,1
1043,25650706REUC00001,146000.0,144738.43,60,F,1993-12-05,STREET VENDOR,40000.0,CAR,MITSUBISHI,ATTRAGE,2014,AB,207500,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,30,9,0
1045,25650705REUM00016,30000.0,27436.57,24,F,1980-12-25,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2017,CT,41000,S2,2023-01-12,S1,PL,APPLICATION_COMPLETED,43,6,0
1049,25650705REUC00020,230000.0,230000.0,60,F,1987-05-29,อาจารย์,22000.0,CAR,HONDA,CITY,2013,BP,308000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,36,10,0
1057,25650706ULMB00010,14000.0,13854.61,36,F,1975-03-19,STREET VENDOR,20000.0,MC,HONDA,SCOOPY I,2011,BB,22000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,48,12,0
1112,25650706ULCR00040,159000.0,159000.0,60,M,1986-05-07,เกษตรกร,20000.0,CAR,TOYOTA,COROLLA ALTIS,2009,DP,211500,S3,2023-01-11,S2,NPL,APPLICATION_COMPLETED,37,14,1
1114,25650706ULCR00033,110000.0,110000.0,60,F,1987-11-06,อื่นๆ,15000.0,CAR,HONDA,CIVIC,2005,AV,167500,S3,2022-12-03,S2,NPL,APPLICATION_COMPLETED,36,18,1
1134,25650706REUC00025,140000.0,138963.28,60,F,1981-11-28,อื่นๆ,22770.0,CAR,TOYOTA,VIOS,2010,DX,222000,S2,2022-11-03,S1,PL,APPLICATION_COMPLETED,42,13,0
1139,25650706ULMB00049,17000.0,14143.92,24,M,1970-03-10,อื่นๆ,20000.0,MC,HONDA,SCOOPY I,2015,CQ,31000,S1,2022-07-06,S1,PL,APPLICATION_COMPLETED,53,8,0
1144,25650705REUC00007,113000.0,112817.38,48,F,1992-08-19,พนักงานบริษัท,10000.0,CAR,MITSUBISHI,MIRAGE,2013,AD,162000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,31,10,0
1146,25650706ULMB00054,27000.0,26768.36,36,F,1982-09-13,พนักงานบริษัท,16600.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,41,11,0
1149,25650706ULMB00072,18300.0,18261.78,24,F,1983-08-04,STREET VENDOR,20000.0,MC,HONDA,CLICK 125I,2013,AI,24500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,40,10,0
1153,25650706REUM00043,26000.0,24380.81,30,F,1994-02-06,STREET VENDOR,12000.0,MC,HONDA,WAVE 110 I,2012,AZ,35000,S2,2023-01-12,S1,PL,APPLICATION_COMPLETED,29,11,0
1163,25650706ULCR00041,50000.0,31971.48,12,M,1976-02-19,เกษตรกร,30000.0,PU,MITSUBISHI,TRITON,2013,BD,338000,S1,2023-01-05,S2,PL,APPLICATION_COMPLETED,47,10,0
1173,25650706REUM00058,16500.0,15955.47,36,F,1968-07-03,พนักงานบริษัท,16000.0,MC,SUZUKI,SHOOTER,2015,AL,24000,S1,2022-07-06,S1,PL,APPLICATION_COMPLETED,55,8,0
1176,25650706ULMB00056,29000.0,29000.0,36,M,1990-08-07,อื่นๆ,20000.0,MC,HONDA,DREAM 110,2016,CB,45000,S3,2022-12-06,S2,NPL,APPLICATION_COMPLETED,33,7,1
1191,25650706REUC00067,178000.0,174556.84,60,M,1985-10-30,เกษตรกร,13000.0,PU,ISUZU,D-MAX,2006,CQ,221500,S1,2022-07-06,S1,PL,APPLICATION_COMPLETED,38,17,0
1205,25650706REUM00069,27300.0,27300.0,18,M,1989-01-19,พนักงานบริษัท,9000.0,MC,HONDA,WAVE 110 I,2017,CV,42000,S3,2022-12-06,S2,NPL,APPLICATION_COMPLETED,34,6,1
1223,25650706ULCR00103,230000.0,230000.0,60,M,1989-10-10,พนักงานบริษัท,20000.0,PU,TOYOTA,HILUX VIGO,2007,DR,287000,S3,2022-12-14,S2,NPL,APPLICATION_COMPLETED,34,16,1
1241,25650706ULMB00109,33000.0,31877.48,24,F,1985-07-05,STREET VENDOR,15000.0,MC,HONDA,WAVE 110 I,2020,EI,45000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,38,3,0
1252,25650706REUM00090,13200.0,12286.79,24,M,1987-12-17,อื่นๆ,20000.0,MC,HONDA,CLICK 110I,2011,AE,17500,S1,2023-01-16,S2,PL,APPLICATION_COMPLETED,36,12,0
1270,25650706REUC00130,196000.0,192056.58,48,M,1981-07-04,พนักงานบริษัท,40000.0,CAR,HONDA,CITY,2012,BS,302000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,42,11,0
1282,25650706ULMB00132,36375.0,35619.72,36,M,2001-10-31,STREET VENDOR,20000.0,MC,HONDA,PCX 150,2014,CE,48500,S2,2022-12-30,S3,PL,APPLICATION_COMPLETED,22,9,0
1298,25650706ULMB00171,24000.0,21930.71,24,F,1983-07-21,พนักงานบริษัท,20000.0,MC,HONDA,WAVE 110 I,2015,CM,38000,S2,2023-01-12,S1,PL,APPLICATION_COMPLETED,40,8,0
1300,25650706ULCR00169,240000.0,238676.22,60,F,1983-01-30,ข้าราชการ,22230.0,PU,TOYOTA,HILUX VIGO,2009,EW,308000,S1,2022-11-09,S2,PL,APPLICATION_COMPLETED,40,14,0
1327,25650702REUM00017,48000.0,47217.95,36,M,1973-02-17,อื่นๆ,20000.0,MC,HONDA,PCX 150,2018,DD,64500,S2,2022-10-30,S1,PL,APPLICATION_COMPLETED,50,5,0
1334,25650706ULCR00166,40000.0,39999.71,36,F,1994-06-06,STREET VENDOR,25000.0,CAR,MITSUBISHI,LANCER,2002,AC,105000,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,29,21,0
1342,25650707ULCR00007,26800.0,26207.14,36,F,1973-01-06,STREET VENDOR,30000.0,CAR,HONDA,CITY,1999,AT,89500,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,50,24,0
1347,25650707ULMB00009,29000.0,29000.0,36,M,1993-07-09,เลี้ยงสัตว์,20000.0,MC,HONDA,WAVE 110I,2022,CH,44500,S3,2022-12-09,S2,NPL,APPLICATION_COMPLETED,30,1,1
1392,25650707ULCR00047,195000.0,194986.62,36,F,1972-09-20,STREET VENDOR,30000.0,CAR,TOYOTA,VIOS,2015,DL,319000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,51,8,0
1397,25650707ULMB00048,26600.0,23346.05,24,F,1967-09-23,อื่นๆ,9000.0,MC,HONDA,WAVE 110 I,2013,CC,35500,S1,2023-01-15,S2,PL,APPLICATION_COMPLETED,56,10,0
1410,25650707REUC00040,160099.0,160099.0,60,M,1984-09-03,STREET VENDOR,90000.0,CAR,SUZUKI,CIAZ,2016,AG,250500,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,39,7,0
1419,25650707ULMB00065,29000.0,28912.73,36,M,1980-12-09,เกษตรกร,35000.0,MC,HONDA,WAVE 110 I,2016,CI,39000,S1,2022-12-12,S2,PL,APPLICATION_COMPLETED,43,7,0
1432,25650707REUC00058,140000.0,140000.0,60,F,1983-05-09,STREET VENDOR,20000.0,PU,ISUZU,D-MAX,2003,AF,184000,S3,2022-12-06,S2,NPL,APPLICATION_COMPLETED,40,20,1
1442,25650707ULMB00081,28500.0,28427.97,18,F,1994-07-03,พนักงานบริษัท,28000.0,MC,HONDA,SUPER CUB 110,2019,DA,38000,S1,2023-01-13,S2,PL,APPLICATION_COMPLETED,29,4,0
1446,25650707ULMB00087,30000.0,28107.93,36,F,1970-01-25,เกษตรกร,30000.0,MC,HONDA,WAVE 110 I,2017,CR,40000,S1,2022-07-07,S1,PL,APPLICATION_COMPLETED,53,6,0
1464,25650707ULMB00109,15000.0,14956.52,18,M,1994-07-20,พนักงานบริษัท,15000.0,MC,HONDA,WAVE 125 I,2011,BC,21000,S2,2023-01-03,S1,PL,APPLICATION_COMPLETED,29,12,0
1472,25650707ULCR00063,100000.0,97932.23,24,M,1976-09-15,อื่นๆ,25000.0,PU,TOYOTA,HILUX TIGER,2003,BF,163000,S3,2023-01-05,S2,NPL,APPLICATION_COMPLETED,47,20,1
1478,25650707REUM00027,54300.0,54179.92,36,F,1996-02-25,STREET VENDOR,15000.0,MC,YAMAHA,N-MAX 155,2020,BJ,72500,S2,2022-10-19,S1,NPL,APPLICATION_COMPLETED,27,3,1
1481,25650707REUC00071,225000.0,224778.39,60,M,1965-12-21,อาจารย์,69040.0,PU,NISSAN,FRONTIER NAVARA,2013,AL,300000,S1,2022-07-07,S1,PL,APPLICATION_COMPLETED,58,10,0
1505,25650707ULMB00124,18000.0,16846.07,18,M,1978-12-08,อื่นๆ,27000.0,MC,YAMAHA,FINO (4DO),2010,AA,24000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,45,13,0
1512,25650708ULMB00006,23000.0,22848.6,24,F,1996-02-27,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S1,2022-07-08,S1,PL,APPLICATION_COMPLETED,27,11,0
1514,25650708ULCR00005,230000.0,230000.0,60,M,1974-09-11,อื่นๆ,30000.0,PU,TOYOTA,HILUX VIGO,2010,FG,332500,S3,2022-12-14,S2,NPL,APPLICATION_COMPLETED,49,13,1
1518,25650708ULMB00007,23000.0,22506.24,24,M,1985-12-22,STREET VENDOR,15000.0,MC,HONDA,WAVE 110 I,2013,BW,35000,S3,2023-01-08,S2,NPL,APPLICATION_COMPLETED,38,10,1
1523,25650708ULMB00005,23000.0,18094.35,12,F,1988-12-02,พนักงานบริษัท,18000.0,MC,YAMAHA,FINO (MLEKE),2011,AD,35500,S2,2023-01-14,S1,PL,APPLICATION_COMPLETED,35,12,0
1553,25650708REUC00017,231000.0,230962.8,60,M,1984-08-30,อื่นๆ,30000.0,PU,ISUZU,D-MAX,2008,BG,296000,S2,2023-01-12,S1,PL,APPLICATION_COMPLETED,39,15,0
1563,25650708REUM00009,16000.0,15936.26,18,F,1990-01-23,บุคลากรทางการแพทย์,13000.0,MC,HONDA,SCOOPY I,2011,AR,24000,S1,2022-12-28,S2,PL,APPLICATION_COMPLETED,33,12,0
1567,25650708ULMB00045,30000.0,29958.86,18,F,1991-12-14,พนักงานบริษัท,15000.0,MC,VESPA,S 125,2015,AH,50500,S2,2023-01-09,S1,PL,APPLICATION_COMPLETED,32,8,0
1569,25650708ULCR00042,152550.0,152550.0,60,M,1987-08-17,STREET VENDOR,30000.0,CAR,TOYOTA,INNOVA,2005,AV,226000,S3,2022-12-18,S2,NPL,APPLICATION_COMPLETED,36,18,1
1571,25650708REUM00012,25000.0,24990.56,24,F,1983-07-15,พนักงานบริษัท,11200.0,MC,YAMAHA,GRAND FILANO 125,2016,CI,35000,S1,2022-07-08,S1,PL,APPLICATION_COMPLETED,40,7,0
1577,25650708REUC00040,110000.0,110000.0,60,F,1994-01-19,พนักงานบริษัท,12000.0,CAR,HONDA,JAZZ,2004,CK,146000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,29,19,0
1584,25650708ULMB00052,25000.0,25000.0,24,M,1962-10-27,ข้าราชการ,32000.0,MC,YAMAHA,GRAND FILANO 125,2017,AT,33500,S3,2022-12-09,S2,NPL,APPLICATION_COMPLETED,61,6,1
1599,25650708REUM00024,15500.0,15469.23,24,F,1986-06-01,STREET VENDOR,12000.0,MC,HONDA,WAVE 110 I,2011,AI,21000,S1,2022-07-08,S1,PL,APPLICATION_COMPLETED,37,12,0
1609,25650708ULCR00079,117000.0,117000.0,60,F,1983-05-11,พนักงานบริษัท,15000.0,CAR,MITSUBISHI,MIRAGE,2012,BF,180000,S2,2023-01-09,S1,PL,APPLICATION_COMPLETED,40,11,0
1616,25650708ULCR00080,53000.0,53000.0,36,F,1979-10-26,อื่นๆ,40000.0,CAR,TOYOTA,VIOS,2005,BY,133500,S2,2022-10-22,S1,NPL,APPLICATION_COMPLETED,44,18,1
1627,25650708ULCR00098,75000.0,65796.25,24,M,1984-10-09,อื่นๆ,13000.0,CAR,TOYOTA,VIOS,2004,FE,116000,S1,2023-01-12,S2,NPL,APPLICATION_COMPLETED,39,19,1
1635,25650708REUM00029,10000.0,9323.22,36,M,1979-07-22,พนักงานบริษัท,33000.0,MC,HONDA,CLICK 110I,2008,AW,16000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,44,15,0
